正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      141    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
      9/8    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        9    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        5    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
        3    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x703820223060}
       52    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2511(_get_values)
       35    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       52    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 argparse.py:1754(ArgumentParser)
        4    0.000    0.000    0.000    0.000 argparse.py:963(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:1633(_pop_action_class)
       15    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 argparse.py:1188(_SubParsersAction)
        8    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       68    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       51    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
       52    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
